#Parameters = {D_center=12; L1=25; L2=2.5; L3=2; L4=18; L_diff=2.83; L_sub=48.06; W_50=1.36; W_sub=48.06; Z_mid=24.03; cm=0.3; ct=12; g_slot=0.8; h1=2; h2=1; h3=2; h4=2; h_sub=9.75; hole_puncher=0.87365; hole_puncher1=1.7; needle_radius=0.635; nutrient_solution=0.01; pipe_OD=50; pipe_Ri=8; pipe_Ro=10; r_SRR=21.2; r_SRR_in=18.8; sigma_fluid=0.5; spacing=0.4; t_PDMS_microstrip=0.35; t_SRR=2; t_gnd=2; t_metal=0.5; t_microstrip=2; t_wall=2; w_channel=2; w_diff=2.83}
#"Frequency / GHz"	"S1,1 (59) [Magnitude / dB]"
#----------------------------------------------
1.4720000000000	-0.41629047299998
1.4760000000000	-0.41951086739042
1.4800000000000	-0.42279202109178
1.4840000000000	-0.42613509186637
1.4880000000000	-0.42954126571200
1.4920000000000	-0.43301175755799
1.4960000000000	-0.43654781197947
1.5000000000000	-0.44015070392378
1.5040000000000	-0.44382173945349
1.5080000000000	-0.44756225650487
1.5120000000000	-0.45137362566023
1.5160000000000	-0.45525725093744
1.5200000000000	-0.45921457059355
1.5240000000000	-0.46324705794317
1.5280000000000	-0.46735622219322
1.5320000000000	-0.47154360929145
1.5360000000000	-0.47581080279045
1.5400000000000	-0.48015942472578
1.5440000000000	-0.48459113650829
1.5480000000000	-0.48910763983066
1.5520000000000	-0.49371067758663
1.5560000000000	-0.49840203480420
1.5600000000000	-0.50318353958998
1.5640000000000	-0.50805706408608
1.5680000000000	-0.51302452543805
1.5720000000000	-0.51808788677198
1.5760000000000	-0.52324915818191
1.5800000000000	-0.52851039772449
1.5840000000000	-0.53387371242054
1.5880000000000	-0.53934125926311
1.5920000000000	-0.54491524622850
1.5960000000000	-0.55059793329002
1.6000000000000	-0.55639163343312
1.6040000000000	-0.56229871366806
1.6080000000000	-0.56832159603992
1.6120000000000	-0.57446275863227
1.6160000000000	-0.58072473656278
1.6200000000000	-0.58711012296665
1.6240000000000	-0.59362156996616
1.6280000000000	-0.60026178962240
1.6320000000000	-0.60703355486470
1.6360000000000	-0.61393970039533
1.6400000000000	-0.62098312356336
1.6440000000000	-0.62816678520431
1.6480000000000	-0.63549371043975
1.6520000000000	-0.64296698943175
1.6560000000000	-0.65058977808543
1.6600000000000	-0.65836529869426
1.6640000000000	-0.66629684052026
1.6680000000000	-0.67438776030167
1.6720000000000	-0.68264148268098
1.6760000000000	-0.69106150054300
1.6800000000000	-0.69965137525524
1.6840000000000	-0.70841473679966
1.6880000000000	-0.71735528378536
1.6920000000000	-0.72647678333071
1.6960000000000	-0.73578307080272
1.7000000000000	-0.74527804940031
1.7040000000000	-0.75496568956799
1.7080000000000	-0.76485002822434
1.7120000000000	-0.77493516778964
1.7160000000000	-0.78522527499605
1.7200000000000	-0.79572457946195
1.7240000000000	-0.80643737201130
1.7280000000000	-0.81736800271793
1.7320000000000	-0.82852087865329
1.7360000000000	-0.83990046131460
1.7400000000000	-0.85151126370988
1.7440000000000	-0.86335784707406
1.7480000000000	-0.87544481718975
1.7520000000000	-0.88777682028436
1.7560000000000	-0.90035853847432
1.7600000000000	-0.91319468472545
1.7640000000000	-0.92628999729673
1.7680000000000	-0.93964923363427
1.7720000000000	-0.95327716367996
1.7760000000000	-0.96717856255819
1.7800000000000	-0.98135820260285
1.7840000000000	-0.99582084468534
1.7880000000000	-1.0105712288031
1.7920000000000	-1.0256140638873
1.7960000000000	-1.0409540167867
1.8000000000000	-1.0565957003854
1.8040000000000	-1.0725436608089
1.8080000000000	-1.0888023636755
1.8120000000000	-1.1053761793479
1.8160000000000	-1.1222693671405
1.8200000000000	-1.1394860584386
1.8240000000000	-1.1570302386860
1.8280000000000	-1.1749057282006
1.8320000000000	-1.1931161617766
1.8360000000000	-1.2116649670365
1.8400000000000	-1.2305553414995
1.8440000000000	-1.2497902283338
1.8480000000000	-1.2693722907689
1.8520000000000	-1.2893038851464
1.8560000000000	-1.3095870325954
1.8600000000000	-1.3302233893266
1.8640000000000	-1.3512142155470
1.8680000000000	-1.3725603430063
1.8720000000000	-1.3942621412005
1.8760000000000	-1.4163194822667
1.8800000000000	-1.4387317046190
1.8840000000000	-1.4614975753932
1.8880000000000	-1.4846152517806
1.8920000000000	-1.5080822413552
1.8960000000000	-1.5318953615148
1.9000000000000	-1.5560506981835
1.9040000000000	-1.5805435639429
1.9080000000000	-1.6053684557894
1.9120000000000	-1.6305190127389
1.9160000000000	-1.6559879735326
1.9200000000000	-1.6817671347268
1.9240000000000	-1.7078473094810
1.9280000000000	-1.7342182873937
1.9320000000000	-1.7608687957660
1.9360000000000	-1.7877864627109
1.9400000000000	-1.8149577825564
1.9440000000000	-1.8423680840276
1.9480000000000	-1.8700015017215
1.9520000000000	-1.8978409514244
1.9560000000000	-1.9258681098414
1.9600000000000	-1.9540633993432
1.9640000000000	-1.9824059783453
1.9680000000000	-2.0108737379579
1.9720000000000	-2.0394433055518
1.9760000000000	-2.0680900558852
1.9800000000000	-2.0967881304378
1.9840000000000	-2.1255104655753
1.9880000000000	-2.1542288301505
1.9920000000000	-2.1829138731060
1.9960000000000	-2.2115351815995
2.0000000000000	-2.2400613501121
2.0040000000000	-2.2684600609264
2.0080000000000	-2.2966981762781
2.0120000000000	-2.3247418423832
2.0160000000000	-2.3525566054340
2.0200000000000	-2.3801075395330
2.0240000000000	-2.4073593863986
2.0280000000000	-2.4342767065345
2.0320000000000	-2.4608240414005
2.0360000000000	-2.4869660859691
2.0400000000000	-2.5126678708900
2.0440000000000	-2.5378949533262
2.0480000000000	-2.5626136153719
2.0520000000000	-2.5867910688111
2.0560000000000	-2.6103956648442
2.0600000000000	-2.6333971072839
2.0640000000000	-2.6557666676237
2.0680000000000	-2.6774774003012
2.0720000000000	-2.6985043564271
2.0760000000000	-2.7188247942284
2.0800000000000	-2.7384183844628
