#Parameters = {D_center=12; L1=25; L2=2.5; L3=2; L4=18; L_diff=2.83; L_sub=48.06; W_50=1.36; W_sub=48.06; Z_mid=24.03; cm=0.3; ct=12; g_slot=0.8; h1=2; h2=1; h3=2; h4=2; h_sub=9.75; hole_puncher=0.87365; hole_puncher1=1.7; needle_radius=0.635; nutrient_solution=0.01; pipe_OD=50; pipe_Ri=8; pipe_Ro=10; r_SRR=21.2; r_SRR_in=18.8; sigma_fluid=0.5; spacing=0.4; t_PDMS_microstrip=0.35; t_SRR=2; t_gnd=2; t_metal=0.5; t_microstrip=2; t_wall=2; w_channel=2; w_diff=2.83}
#"Frequency / GHz"	"S1,1 (r_SRR=21.2) [Magnitude / dB]"
#------------------------------------------------------
2.2520000000000	-2.4161809024198
2.2560000000000	-2.3528904182185
2.2600000000000	-2.2919880959815
2.2640000000000	-2.2333865687302
2.2680000000000	-2.1769999282942
2.2720000000000	-2.1227440718073
2.2760000000000	-2.0705369705843
2.2800000000000	-2.0202988735092
2.2840000000000	-1.9719524554056
2.2880000000000	-1.9254229194004
2.2920000000000	-1.8806380610159
2.2960000000000	-1.8375283006085
2.3000000000000	-1.7960266898077
2.3040000000000	-1.7560688967645
2.3080000000000	-1.7175931742988
2.3120000000000	-1.6805403144026
2.3160000000000	-1.6448535920239
2.3200000000000	-1.6104787005887
2.3240000000000	-1.5773636813246
2.3280000000000	-1.5454588481095
2.3320000000000	-1.5147167092804
2.3360000000000	-1.4850918875869
2.3400000000000	-1.4565410392696
2.3440000000000	-1.4290227730597
2.3480000000000	-1.4024975697488
2.3520000000000	-1.3769277028478
2.3560000000000	-1.3522771607471
2.3600000000000	-1.3285115706997
2.3640000000000	-1.3055981248726
2.3680000000000	-1.2835055086474
2.3720000000000	-1.2622038312997
2.3760000000000	-1.2416645591420
2.3800000000000	-1.2218604511786
2.3840000000000	-1.2027654972922
2.3880000000000	-1.1843548589557
2.3920000000000	-1.1666048124466
2.3960000000000	-1.1494926945218
2.4000000000000	-1.1329968505026
2.4040000000000	-1.1170965847057
2.4080000000000	-1.1017721131535
2.4120000000000	-1.0870045184882
2.4160000000000	-1.0727757070125
2.4200000000000	-1.0590683677767
2.4240000000000	-1.0458659336317
2.4280000000000	-1.0331525441663
2.4320000000000	-1.0209130104472
2.4360000000000	-1.0091327814833
2.4400000000000	-0.99779791233537
2.4440000000000	-0.98689503379415
2.4480000000000	-0.97641132355388
2.4520000000000	-0.96633447880838
2.4560000000000	-0.95665269020089
2.4600000000000	-0.94735461706075
2.4640000000000	-0.93842936386293
2.4680000000000	-0.92986645784894
2.4720000000000	-0.92165582775052
2.4760000000000	-0.91378778356012
2.4800000000000	-0.90625299729450
2.4840000000000	-0.89904248470102
2.4880000000000	-0.89214758785792
2.4920000000000	-0.88555995862280
2.4960000000000	-0.87927154288579
2.5000000000000	-0.87327456558600
2.5040000000000	-0.86756151645216
2.5080000000000	-0.86212513643035
2.5120000000000	-0.85695840476391
2.5160000000000	-0.85205452669221
2.5200000000000	-0.84740692173715
2.5240000000000	-0.84300921254769
